APT,VFR,IFR,WMAX,START,END,MAXLENGTH,NUM_SITTING,NUM_AIR,DISC,CASE,AIRCOST,LOOKAHEAD,NUM_TIME_PERIODS,EARLY_CHANGE,LATE_CHANGE,PROB_ALT,DIVERT_FACTOR,SOLVETIME,OBJECTIVE
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,4,3.0,0,36,8,24,true,1000.0,34.045564333,2.000000000000001
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,5,3.0,0,36,8,24,false,1000.0,33.726324104,2.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T16:00-05:00,6,200,54,15,6,3.0,2,36,8,24,false,1000.0,48.510762297,2.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,1,3.0,0,20,8,8,false,1000.0,0.001297607,0.0
DFW,159,85,-1,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,2,3.0,0,20,8,8,false,1000.0,7.01063E-4,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,3,2.0,0,20,8,8,false,1000.0,6.11037E-4,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,4,3.0,0,20,8,8,true,1000.0,6.1441E-4,0.0
DFW,159,85,0,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,5,3.0,0,20,8,8,false,1000.0,6.19884E-4,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T22:00-05:00,2,63,90,15,6,3.0,2,20,8,8,false,1000.0,6.27115E-4,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T23:00-05:00,3,70,90,15,1,3.0,0,24,8,12,false,1000.0,1.41578439,0.0
DFW,159,85,-1,2017-07-15T17:00-05:00,2017-07-15T23:00-05:00,3,70,90,15,2,3.0,0,24,8,12,false,1000.0,1.545731922,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T23:00-05:00,3,70,90,15,3,2.0,0,24,8,12,false,1000.0,1.4304284,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T23:00-05:00,3,70,90,15,4,3.0,0,24,8,12,true,1000.0,1.55921317,0.0
DFW,159,85,0,2017-07-15T17:00-05:00,2017-07-15T23:00-05:00,3,70,90,15,5,3.0,0,24,8,12,false,1000.0,1.571505536,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-15T23:00-05:00,3,70,90,15,6,3.0,2,24,8,12,false,1000.0,1.464271077,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T00:00-05:00,4,84,90,15,1,3.0,0,28,8,16,false,1000.0,5.239501593,0.0
DFW,159,85,-1,2017-07-15T17:00-05:00,2017-07-16T00:00-05:00,4,84,90,15,2,3.0,0,28,8,16,false,1000.0,5.071112521,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T00:00-05:00,4,84,90,15,3,2.0,0,28,8,16,false,1000.0,5.257724001,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T00:00-05:00,4,84,90,15,4,3.0,0,28,8,16,true,1000.0,5.25244399,0.0
DFW,159,85,0,2017-07-15T17:00-05:00,2017-07-16T00:00-05:00,4,84,90,15,5,3.0,0,28,8,16,false,1000.0,5.011618233,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T00:00-05:00,4,84,90,15,6,3.0,2,28,8,16,false,1000.0,4.88747555,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T01:00-05:00,5,87,90,15,1,3.0,0,32,8,20,false,1000.0,13.458253001,0.0
DFW,159,85,-1,2017-07-15T17:00-05:00,2017-07-16T01:00-05:00,5,87,90,15,2,3.0,0,32,8,20,false,1000.0,13.210407313,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T01:00-05:00,5,87,90,15,3,2.0,0,32,8,20,false,1000.0,13.524992275,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T01:00-05:00,5,87,90,15,4,3.0,0,32,8,20,true,1000.0,13.40615799,0.0
DFW,159,85,0,2017-07-15T17:00-05:00,2017-07-16T01:00-05:00,5,87,90,15,5,3.0,0,32,8,20,false,1000.0,13.067362845,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T01:00-05:00,5,87,90,15,6,3.0,2,32,8,20,false,1000.0,12.835905051,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T02:00-05:00,6,89,90,15,1,3.0,0,36,8,24,false,1000.0,31.079841684,0.0
DFW,159,85,-1,2017-07-15T17:00-05:00,2017-07-16T02:00-05:00,6,89,90,15,2,3.0,0,36,8,24,false,1000.0,31.09302468,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T02:00-05:00,6,89,90,15,3,2.0,0,36,8,24,false,1000.0,31.073397656,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T02:00-05:00,6,89,90,15,4,3.0,0,36,8,24,true,1000.0,31.204240651,0.0
DFW,159,85,0,2017-07-15T17:00-05:00,2017-07-16T02:00-05:00,6,89,90,15,5,3.0,0,36,8,24,false,1000.0,30.578062693,0.0
DFW,159,85,74,2017-07-15T17:00-05:00,2017-07-16T02:00-05:00,6,89,90,15,6,3.0,2,36,8,24,false,1000.0,29.651461217,0.0
ORD,126,89,37,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,126,90,15,1,3.0,0,20,8,8,false,1000.0,6.72E-4,0.0
ORD,126,89,-1,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,126,90,15,2,3.0,0,20,8,8,false,1000.0,7.15112E-4,0.0
ORD,126,89,37,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,126,90,15,3,2.0,0,20,8,8,false,1000.0,6.9796E-4,0.0
ORD,126,89,37,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,126,90,15,4,3.0,0,20,8,8,true,1000.0,7.2605E-4,0.0
ORD,126,89,0,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,126,90,15,5,3.0,0,20,8,8,false,1000.0,6.76462E-4,0.0
ORD,126,89,37,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,126,90,15,6,3.0,2,20,8,8,false,1000.0,7.13511E-4,0.0
ORD,126,89,37,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,171,90,15,1,3.0,0,24,8,12,false,1000.0,1.566595229,3.0
ORD,126,89,-1,2017-07-15T07:00-05:00,2017-07-15T13:00-05:00,3,171,90,15,2,3.0,0,24,8,12,false,1000.0,1.553828197,3.0
